ticket_id,customer_id,created_date,ticket_type,priority,ticket_status,closed_date,resolution_hours,satisfaction_score,assigned_agent
T0005826,C04616,"Apr 25, 2026",Account Access ,Low,Closed,5/1/2026,149,2,E. Wilson	
T0005827,C14861 ,2/25/2025,Billing,Medium, Closed,"Feb 25, 2025",12,4,F. Brown
T0005828,C06975,"Dec 10, 2025",Plan Change,Medium,Closed,12/10/2025,21,4,C. Nguyen
T0005829,C15640,4/16/2025,Technical,Low,Closed,4/19/2025,85,,G. Lee
T0005830,C11811,10/10/2025,Account Access,URGENT,Resolved,10/10/2025,12,4,F. Brown
T0005831,C05277,2/8/2026,Service Quality,Low,Open,,,5,A. Chen
T0005832,C07818,6/17/2026,Cancellation,High,Resolved,6/17/2026,12,2,G. Lee
T0005833,C05086,4/22/2026,Billing,Low,Closed,4/23/2026,34,5,D. Garcia
T0005834,C10088,3/24/2025,Cancellation,Low,Closed,3/27/2025,83,2,A. Chen
T0005835,C06243,7/1/2025,Technical,High,Closed,7/2/2025,29,,B. Patel
T0005836,C08214,4/17/2025,Technical,Low,Closed,4/19/2025,60 hrs,,G. Lee
T0005837,C17412,5/1/2025,Account Access,Medium,Closed,"May 02, 2025",35,5,D. Garcia
T0005838,C03565,"May 04, 2025",Billing,Medium,Resolved,5/5/2025,38,2,F. Brown
T0005839,C07368,4/24/2026,Service Quality,Medium,Resolved,4/27/2026,80,,A. CHEN
T0005840,C05308,3/13/2026,Account Access,LOW,Closed,3/13/2026,18,5,G. Lee
T0005841,C08997,"Mar 11, 2025",  Service Quality  ,Low,Resolved,3/11/2025,13,5,F. Brown
T0005842,C13198,1/17/2026,Technical,Medium,Resolved,1/19/2026,67,3,F. Brown
T0005843,C07809,"May 22, 2025",Billing,Low,Open,,,,H. Martinez
T0005844,C15430,"Mar 10, 2025",Account Access,Medium,Closed,3/10/2025,20,4,C. Nguyen
T0005845, C14582,4/23/2026,Cancellation,Urgent,Resolved,4/24/2026,26,2,E. Wilson
T0005846,C06702,1/14/2026,Cancellation,Medium,Closed,1/14/2026,21,5,C. Nguyen
T0005847, C04082,10/5/2025,Billing,Medium,Closed,10/6/2025,29,,G. Lee
T0005848,C01514,"Dec 16, 2025",CANCELLATION,Low,Closed,12/18/2025,50,4,D. Garcia
T0005849,C09603,5/20/2026,Plan Change,Urgent,Resolved,"May 20, 2026",22,4,D. Garcia
T0005850,C12671,4/20/2026,Service Quality,Medium,Closed,4/21/2026,37,3,H. Martinez
T0005851,C10616,11/17/2025,Account Access,High,CLOSED,"Nov 18, 2025",42,,F. Brown
T0005852,C01781,5/1/2025,Technical,Urgent,Closed ,5/2/2025,26,3,B. Patel
T0005853,C07819,5/28/2026,Account Access,Medium,Resolved,5/30/2026,52,5,H. Martinez
T0005854,C11870,10/11/2025,Service Quality,Urgent,Closed,10/11/2025,13,4,D. Garcia
T0005855,C16473,10/15/2025,Technical,High,Resolved,"Oct 15, 2025",20,5,F. Brown
T0005856,C17723,"Apr 18, 2026",Billing,Medium,Resolved,4/19/2026,36,,C. Nguyen
T0005857,C07648,5/24/2025,Technical,High,Closed,5/27/2025,81,3,F. Brown
T0005858,C16366,3/20/2025,Technical,Low,Closed,3/21/2025,27,3,F. Brown
T0005859,C12085,"Apr 22, 2026",Cancellation,Medium,Open,,,1,B. Patel
T0005860,C08339,"Dec 31, 2025",Account Access,Low,Closed,1/2/2026,56,3,F. Brown
T0005861,C03414,1/15/2026,Plan Change,Low,Closed,1/16/2026,31,4,E. Wilson
T0005862,C13340,12/26/2025,Plan Change,High,Closed,12/26/2025,12,1,E. Wilson
T0005863,C05081,"Nov 25, 2025",Billing,Low,Open,,,2,E. Wilson
T0005864,C04023,8/5/2025,Cancellation,Medium,Closed,8/6/2025,25,4,C. Nguyen
T0005865,C05839,9/12/2025,Cancellation,High,Closed,9/13/2025,24,3,H. Martinez
T0005866,C03899,"Jun 27, 2026",Technical,Medium,Resolved,6/29/2026,48,,E. WILSON
T0005867,C14821,7/11/2025,Service Quality,Medium,Closed,"Jul 14, 2025",79,2,D. Garcia
T0005868,C16794,1/16/2025,Technical,Medium,Open,,,1,G. Lee
T0005869,C10434,12/8/2025,Technical,Medium,Closed,"Dec 09, 2025",47,,D. Garcia
T0017991,C15488,1/26/2026,Technical,Low,Open,,,,H. Martinez
T0005871,C02587,2/17/2025,Technical,High,Open,,,2,A. Chen
T0005872,C16738,2/19/2025,Plan Change,High,Closed,"Feb 20, 2025",37,5,B. Patel
T0005873,C05620,11/6/2025,Technical,Urgent,Open,,,1,G. Lee
T0005874,C05903,5/25/2025,Service Quality,Medium,Closed,5/26/2025,26,,F. Brown
T0005875,C04161,1/23/2025,Billing,Low,Resolved,1/23/2025,21,,E. Wilson
T0005876,C05258,1/5/2026,Cancellation,Low,Closed,"Jan 06, 2026",32,5,B. Patel
T0005877,C05157,"Apr 27, 2025",Technical,High,Resolved,4/27/2025,4,2,F. Brown
T0005878,C06107,7/8/2025,Billing,Medium,Closed,7/10/2025,66,3,B. Patel
T0005879,C06544,6/22/2026,Technical ,Medium,Resolved,6/23/2026,42,5,B. Patel
T0005880,C01016,9/24/2025,Billing,low,Resolved,9/24/2025,3,5,D. Garcia
T0005881,C09809,4/1/2025,Technical,Medium,Open,,,,D. Garcia
T0005882,C07378,7/14/2025,Billing,High,Resolved,7/14/2025,16,5,D. Garcia
T0005883,C02396,3/17/2026,Technical,High,Resolved,3/19/2026,53,3,D. Garcia
T0005884,C12943,"Dec 03, 2025",Billing,Low,Open,,,1,B. Patel
T0005885,C01570,"Jun 10, 2026",Billing,Low,Open,,,4,A. Chen
T0005886,C05122,"Mar 20, 2025",Service Quality,High,Resolved,3/21/2025,32,5,G. Lee
T0005887,C04931,"Dec 17, 2025",Account Access,urgent,Closed,12/17/2025,20,5,H. Martinez
T0005888,C01063,6/29/2026,Account Access,Low,Closed,6/30/2026,35,4,F. Brown
T0005889, C05428 ,3/2/2025,Cancellation,High,Closed,3/2/2025,18,,D. Garcia
T0005890,C03332,7/11/2025,Technical,Medium,Open,,,2,G. Lee
T0005891,C17923,6/12/2026,Account Access,Medium ,Resolved,"Jun 14, 2026",55,4,G. Lee
T0005892,C04568,10/25/2025,Service Quality,Medium,resolved,10/25/2025,21,4,C. Nguyen
T0005893,C03966,2/12/2026,Billing,Medium,Resolved,"Feb 13, 2026",24,4,D. Garcia
T0005894,C07839,1/14/2026,  Service Quality  ,MEDIUM,Closed,1/16/2026,56,5,F. Brown	
T0005895,C16483,"Feb 26, 2025",Cancellation,Medium,Open,,,1,C. Nguyen
T0005896,C12171,"Apr 13, 2026",Plan Change,High,Closed ,4/13/2026,4,5,H. Martinez
T0005897,C08935,"May 24, 2025",Technical,High,Closed,5/25/2025,38,,D. Garcia
T0005898,C12859,1/11/2025,Billing,Low,Resolved ,1/12/2025,24,5,B. Patel
T0005899,C17989,"Apr 17, 2025",Technical,Medium,Open,,,,B. Patel
T0005900,C00078,4/29/2025,Technical,Low,Closed,5/5/2025,158,2,H. Martinez
T0005901,C08801,4/13/2025,Technical,High,Closed,4/13/2025,12,,B. Patel
T0005902,C13573,2/19/2025,Service Quality,Urgent,Open,,,4,D. Garcia
T0005903,C05829,2/19/2026,Billing,Low,Resolved,2/19/2026,5,5,H. Martinez
T0005904,C00540,12/26/2025,Service Quality,Low,Open,,,2,G. Lee
T0005905,C10352,6/5/2026,Billing,High,Open,,,2,G. Lee
T0005906,C12218,4/18/2026,Cancellation,Medium,Open,,,1,B. Patel
T0005907,C14888,6/27/2025,Account Access,Low,Closed,6/28/2025,44,2,E. Wilson
T0005908,C17539,"Oct 31, 2025",Plan Change,Medium,Closed,11/1/2025,45,4,G. Lee
T0005909,C11597,10/16/2025,Technical,Low,Resolved,"Oct 18, 2025",59,4,G. Lee
T0005910, C03513 ,11/25/2025,Billing,Medium,Resolved,11/28/2025,92, 1 ,H. Martinez
T0005911,C06848,1/30/2025,Billing,Medium,Resolved,2/2/2025,77,2,C. Nguyen
T0005912,C14358,5/31/2026,Technical,Low,Closed,6/1/2026,24,4,B. Patel
T0005913,C08265,6/21/2025,Service Quality,High,Open,,,2,F. Brown
T0005914,C13764,8/9/2025,Service Quality,Medium,Closed ,8/11/2025,66,3,F. Brown
T0005915,C10127,3/17/2025,Technical,Low,Resolved,3/18/2025,47,,C. Nguyen
T0005916,C17987,4/18/2025,Billing,Medium,Closed,"Apr 20, 2025",63,,B. Patel
T0005917,C06417,"Apr 06, 2026",Technical,Low,Resolved,4/10/2026,110,2,B. Patel
T0005918,C15096,"Feb 18, 2025",Technical,High,Closed,2/19/2025,30,1,F. Brown
T0005919,C07912,10/18/2025,Service Quality,High,Closed,"Oct 20, 2025",71,,F. Brown
T0005920,C05948,9/10/2025,Plan Change,Low,Open,,,,D. Garcia
T0005921,C05001,5/6/2025,Technical,Medium,Closed,"May 06, 2025",21, 4 ,F. BROWN
T0005922,C10988,5/24/2025,Service Quality,Low,Closed,5/25/2025,35,2,B. Patel
T0005923,C15081,8/1/2025,Billing,Low,Resolved,8/2/2025,31,5,G. Lee
T0005924,C03408,4/19/2026,Plan Change,High,Closed,4/20/2026,41,5,H. Martinez
T0005925,C11882,"Apr 16, 2025",Account Access,Medium,Resolved,4/24/2025,197,,G. Lee
T0005926,C06150,12/22/2025,Technical,High,Open,,,1,A. Chen
T0005927,C13221,9/26/2025,Service Quality,Low,Closed,9/27/2025,38,,D. Garcia
T0005928,C13290,5/10/2026,Billing,Low,Resolved,5/14/2026,113,4,B. Patel
T0005929,C01284,"Sep 15, 2025",Service Quality,Medium,Closed,"Sep 19, 2025",113,2,F. Brown
T0005930,C09094,"May 21, 2025",Cancellation,High,Resolved,5/22/2025,47,3,D. Garcia
T0005931,C16962,10/4/2025,Cancellation,Low,Open,,,1,H. Martinez
T0005932,C08993,5/9/2026,Plan Change,Low,Closed,5/11/2026,48,1,A. Chen
T0005933,C11233,"Dec 31, 2025",Cancellation,Low,Resolved,1/1/2026,35 hrs,4,E. Wilson
T0005934,C11092,4/20/2026,BILLING,Urgent,Closed,4/20/2026,6,5,D. Garcia
T0005935,C15491,"Dec 28, 2025",Technical ,Medium,Closed,1/3/2026,167,2,E. Wilson
T0005936,C01325,1/14/2026,Plan Change,Medium,Closed,"Jan 15, 2026",26,,C. Nguyen
T0005937,C04884,7/14/2025,Plan Change,Medium,Resolved,7/14/2025,20,3,C. Nguyen
T0005938,C07525,9/11/2025,Technical,Low,Open,,,1,H. Martinez
T0005939,C08645,6/17/2025,Account Access,Medium,Open,,,1,G. Lee
T0005940,C06347,5/8/2026,Plan Change,Urgent,Resolved,5/8/2026,11,5,H. Martinez
T0005941,C09530,6/14/2026,Account Access,Medium,Closed,6/15/2026,24,5,E. Wilson
T0005942,C11648,7/20/2025,Technical,Medium,Closed,7/21/2025,44,3,E. Wilson
T0005943,C14186,12/2/2025,Cancellation,High,Closed,"Dec 03, 2025",47,5,A. Chen
T0005944,C13717,"Jan 11, 2025",Billing,High,Closed,1/11/2025,22,3,F. Brown
T0005945,C13889,"Oct 23, 2025",Billing,High ,Closed,10/24/2025,32,3,F. Brown
T0005946,C09790,4/27/2026,Technical,Medium,Closed,4/28/2026,33,2,F. Brown
T0005947,C08706,12/20/2025,Billing,Medium,Closed,12/21/2025,39,5,E. Wilson
T0005948,C09654,6/22/2025,Service Quality,medium,Closed,6/23/2025,43 hrs,1,F. Brown
T0005949,C00725,"Jun 04, 2025",Billing,High,Open,,,2,C. Nguyen
T0005950,C14062,4/20/2026,Service Quality,Low,Closed,4/21/2026,25,4,B. Patel
T0005951,C05431,2/10/2025,Cancellation,High,Resolved,2/11/2025,35,,D. Garcia
T0005952,C13186,"May 24, 2025",Account Access,Medium,Closed ,5/25/2025,24,2,H. Martinez
T0005953,C11486,8/16/2025,Service Quality,High,Closed,8/16/2025,15,3,E. Wilson
T0005954,C06476,10/12/2025,Technical,low,Resolved,10/12/2025,23,4,B. Patel
T0005955,C06364,12/6/2025,Technical,Medium,Closed,"Dec 07, 2025",37,3,G. Lee
T0005956,C14480,11/28/2025,Technical,Medium,Closed,11/30/2025,61,4,G. Lee
T0005957,C09487,5/14/2025,Technical,Urgent,Open,,,,F. Brown
T0005958,C03543,10/21/2025,Cancellation,Low,Resolved,10/22/2025,39,3,B. Patel
T0005959,C06611,8/31/2025,Account Access,Medium,Resolved,9/2/2025,54,,F. Brown
T0005960,C03963,2/9/2026,Account Access,Low,Closed,2/12/2026,76,3,D. Garcia
T0005961,C11126,"Jun 12, 2025",Billing,High,Open,,,1,C. Nguyen
T0005962, C07693,4/10/2025,Technical,Medium,Open,,,3,G. Lee
T0005963,C00388,2/4/2026,Technical,Medium,Open,,,2,F. Brown
T0005964,C15042,1/13/2025,Account Access,High,Closed,1/13/2025,10,4,D. Garcia
T0005965,C11332,2/2/2025,Plan Change,Medium,Resolved,2/3/2025,39,3,E. Wilson
T0005966,C06827,2/17/2025,Technical,High,Open,,,1,F. Brown
T0005967,C07254,6/16/2026,Technical,High,Closed,6/18/2026,68,3,A. Chen
T0005968,C17187,"Oct 08, 2025",Technical,Medium,Resolved,"Oct 08, 2025",8,3,G. Lee
T0005969,C16775,2/19/2025,Cancellation,High,Resolved,2/19/2025,20,5,H. Martinez
T0005970,C07923,"May 05, 2026",Plan Change,Medium,Resolved,5/5/2026,15,4,D. Garcia
T0005971,C11244,"Jul 06, 2025",Billing,Urgent,Closed,7/6/2025,7,,E. Wilson
T0005972,C07048,1/10/2026,Billing,Medium,Closed,"Jan 11, 2026",38,3,C. Nguyen	
T0005973,C02125,5/11/2026,Cancellation,High,Closed,5/13/2026,61,3,E. Wilson
T0005974,C06660,6/28/2026,Billing,Low,Resolved,6/29/2026,38,5,B. Patel
T0005975,C00506,12/24/2025,Service Quality,Medium,Open,,,2,C. Nguyen
T0005976,C08276,6/12/2025,Billing,Low,Closed,"Jun 14, 2025",66,1,D. Garcia
T0005977,C02924,"Dec 17, 2025",Service Quality,Medium,Closed,12/19/2025,60,5,F. Brown
T0005978,C17314,11/20/2025,Technical,High,Closed,"Nov 22, 2025",54,4,H. Martinez	
T0005979,C02357,4/22/2026,Technical,Medium,Closed,"Apr 24, 2026", 66 , 4 ,H. Martinez
T0005980,C11078,4/23/2026,Billing,Low,Closed,4/25/2026,59,1,E. Wilson
T0005981,C03059,6/7/2025,Service Quality,Low,Resolved,6/8/2025,29,5,D. Garcia
T0005982,C15142,"Mar 23, 2026",Technical,High,Closed,3/23/2026,14,,E. Wilson
T0005983,C05554,"Mar 02, 2026",Technical,Medium,CLOSED,3/3/2026,39,3,G. Lee
T0005984,C05687,4/28/2025,Technical,Low,OPEN,,,,C. Nguyen
T0005985,C11390,3/13/2026,Billing,Medium,Closed,"Mar 17, 2026",106,3,G. Lee
T0005986,C16542,5/22/2025,Cancellation,Low,Closed,5/23/2025,35,2,B. Patel
T0005987,C08116,"Mar 28, 2026",Service Quality,Low,Open,,,,C. Nguyen
T0005988,C04923,"Jan 10, 2025",Billing,Low,  Closed  ,1/15/2025,120,2,H. Martinez
T0005989,C02444,1/31/2025,Plan Change,Low ,Closed,"Jan 31, 2025",13,4,A. Chen
T0005990,C12997,4/14/2026,Technical,Medium,Open,,,,H. Martinez
T0005991,C03137,5/21/2026,Billing,High,Open,,, 1 ,A. Chen
T0005992,C09967,"Nov 20, 2025",Account Access,Medium,Resolved,11/21/2025,34,5,G. Lee
T0005993,C05767,3/3/2026,Technical,Low,Closed,"Mar 08, 2026",127,3,F. Brown
T0005994,C16262,12/27/2025,Billing,High,Resolved,12/27/2025,20,3,H. Martinez
T0005995,C01058,7/27/2025,Service Quality,Medium,Resolved,7/31/2025,114,2,A. Chen
T0005996,C13043,2/24/2025,Service Quality,High,Resolved,2/24/2025,11,,E. Wilson
T0005997,C10329,"Jun 08, 2025",Plan Change,High,Open,,,1,B. Patel
T0005998,C10139,"May 01, 2025",Service Quality,Medium,Closed ,5/1/2025,12,3,F. Brown
T0005999,C07725,10/5/2025,Technical,Low,Closed,10/8/2025,82,5,H. Martinez
T0006000,C13755,8/2/2025,Cancellation,Low,Resolved,"Aug 04, 2025",48,1,G. Lee
T0006001,C10282,"Jan 08, 2025",Billing,Low,Closed,1/11/2025,84 hrs,1,G. Lee
T0006002,C04418,12/8/2025,Service Quality,Medium,Open,,,,C. Nguyen
T0006003,C09208,"Aug 15, 2025",Account Access,Medium,Closed,8/18/2025,87,3,F. Brown
T0006004,C15380,8/27/2025,Technical,High,Closed,"Aug 29, 2025", 61 ,3,D. Garcia
T0006005,C11123,8/31/2025,Billing,Low,Closed,9/3/2025,74,4,B. Patel
T0006006,C06337,3/5/2025,Billing,Low,Resolved,3/5/2025,17,4,G. Lee
T0006007,C01550,11/15/2025,Plan Change,Low,Resolved,11/17/2025,53,5,A. Chen
T0006008,C17917,4/9/2025,  Technical  ,Medium,Resolved,4/10/2025,33,4,A. Chen
T0006009,C01564,3/15/2026,Billing,High,Resolved,3/16/2026,28,,b. patel
T0006010,C07030,2/12/2025,Technical,Low,Open,,,2,C. Nguyen
T0006011,C03687,"Mar 28, 2026",Cancellation,Medium,Open,,,2,D. Garcia
T0006012,C06723,"Oct 06, 2025",Billing,High,Resolved,10/6/2025,18,5,A. Chen
T0006013,C17848,5/9/2026,Account Access, Low,Closed,5/11/2026,48,3,E. Wilson
T0006014,C01645,4/8/2026,Technical,Low,Closed ,"Apr 11, 2026",82,1,H. Martinez
T0006015,C01107,2/10/2025,Account Access,Medium,Closed,"Feb 11, 2025",45,4,E. Wilson
T0006016,C00962,11/13/2025,Billing,High,Closed,11/13/2025,21,,G. Lee
T0006017,C04506,8/5/2025,Technical,Medium,Resolved,8/8/2025,79,2,E. Wilson
T0006018,C01570,5/7/2026,Technical,Medium,Resolved,5/8/2026,32,1,D. Garcia
T0006019,C09403,"Dec 08, 2025",Billing,High,Closed,12/9/2025,27 hrs,4,E. Wilson
T0006020,C07299,4/26/2025,Billing,Low,  Resolved  ,5/1/2025,138,1,E. Wilson
T0006021,C09771,"Apr 19, 2025",Technical,Low,Open,,,,E. Wilson
T0006022,C09892,6/8/2026,Billing,Low,Closed,6/8/2026,11,5,E. Wilson
T0006023,C09902,"Jan 25, 2025",Account Access,Low,Open,,,1,G. Lee
T0006024,C17539,"Mar 07, 2025",Technical,Low,Open,,,,C. Nguyen
T0006025,C05994,10/31/2025,Cancellation,High,Closed,11/1/2025,24,4,A. Chen
T0006026,C08469,5/6/2026,Technical,MEDIUM,Open,,,,D. Garcia
T0006027,C14329,11/20/2025,Cancellation,Low,Resolved,"Nov 20, 2025",16, 5 ,D. Garcia
T0006028,C16516,10/27/2025,Technical,Low, Closed,11/2/2025,149,2,H. Martinez
T0006029,C17371,9/5/2025,Billing,Low,Closed,9/5/2025,21,5,F. Brown
T0006030,C12657,10/19/2025,Service Quality,Low,Closed,10/22/2025, 72 ,4,F. Brown
T0006031,C16372,5/8/2026,Billing,Medium,Open,,,2,G. Lee
T0006032,C07346,"Jan 12, 2026",Billing,URGENT,Closed,1/12/2026,23,3,E. Wilson
T0006033,C11455,1/24/2026,Account Access,High,Closed,1/24/2026, 6 ,,A. Chen
T0006034,C04974,5/23/2026,Billing,Low,Resolved,"May 24, 2026",33,,A. Chen
T0006035,C15348,4/26/2025,Service Quality,Medium,Resolved,4/26/2025,16,5,F. Brown
T0006036,C01211,10/28/2025,Account Access,Medium,Closed,"Oct 30, 2025",60,4,G. Lee
T0006037,C07088,8/25/2025,Cancellation,medium,Closed,8/25/2025,4,2,C. Nguyen
T0006038,C10353,9/2/2025,Billing,Medium,Resolved,"Sep 05, 2025",72,5, B. Patel 
T0006039,C14424,6/16/2025,Billing,High,resolved,6/17/2025,34,2,H. Martinez
T0006040,C15111,1/2/2026,Cancellation,Medium,Closed,1/4/2026,63,4,H. Martinez
T0006041,C04660,9/12/2025,Technical,Medium,Resolved,9/17/2025,142,4,A. Chen
T0006042,C11407,2/21/2025,Technical,Medium,Closed,2/24/2025,93,,E. Wilson
T0006043,C10844,8/15/2025,  Service Quality  ,Medium,Open,,,,H. Martinez
T0006044,C05883,1/1/2026,Billing,Low,Closed,1/1/2026,20,4,D. Garcia
T0006045,C07774,"Feb 18, 2025",Cancellation,Low,Open,,,,A. Chen
T0006046,C01110,12/16/2025,Billing,Medium,Closed,12/17/2025,25,1,A. CHEN
T0006047,C06679,5/19/2025,Service Quality ,High,Resolved,"May 19, 2025",2,5,f. brown
T0006048,C09317,4/4/2026,Technical,Low,Closed,"Apr 05, 2026",31, 5 ,G. Lee
T0006049,C08016,2/7/2026,Billing,High,Closed,"Feb 07, 2026",22,4,E. Wilson
T0006050,C12989,6/18/2025,Technical,Medium,Closed,"Jun 20, 2025",64,4,G. Lee
T0006051,C00916,"Nov 20, 2025",Service Quality,Medium,Closed,11/26/2025,166,2,G. LEE
T0006052,C14975,"Jun 22, 2026",Billing,Low,Closed,6/22/2026,20,,E. Wilson
T0006053,C17385,5/20/2026,Technical,Medium, Closed,5/22/2026,59,,D. Garcia
T0006054,C12932,"Jan 08, 2026",Technical,Medium,Closed,1/11/2026,90,,B. Patel
T0006055,C04196,11/12/2025,Account Access,Low,Resolved,11/16/2025,100,4,H. Martinez
T0006056,C01974,1/5/2025,Technical,Low,Resolved,"Jan 06, 2025",47 hrs,2,G. Lee
T0006057,C15172,2/10/2026,Technical,Low,Closed,2/12/2026,54,,E. Wilson
T0006058,C04720,"Jun 01, 2026",Service Quality,Low,Open,,,,E. Wilson
T0006059,C14092,"May 29, 2026",Technical,  Low  ,Resolved,6/4/2026,145,1,E. Wilson
T0006060,C06418,9/26/2025,Technical,Medium,Open,,,,H. Martinez
T0006061,C13505,"Sep 21, 2025",Cancellation,MEDIUM,Open,,,2,B. Patel
T0006062,C08659,"May 31, 2026",Technical,High,Closed,"Jun 01, 2026",39,,H. Martinez
T0006063,C13430,2/4/2025,Billing,Medium,Open,,,,G. Lee
T0006064,C10179,12/20/2025,Billing,Low,Resolved,12/24/2025,118,3,A. Chen	
T0006065,C16424,3/8/2025,Technical,Urgent,Resolved,3/8/2025,2,3,B. Patel
T0006066,C04249,"Feb 11, 2025",Technical,High,Closed,2/12/2025, 44 ,5,D. Garcia
T0006067,C02421,3/3/2026,Cancellation,Medium,Closed,"Mar 04, 2026",35,3,D. Garcia
T0006068,C09998,1/28/2026,Plan Change,High,Closed,1/29/2026,29,3,D. Garcia
T0006069,C14307,6/22/2026,Technical,Medium,Open,,,1,A. Chen
T0006070,C06801,"May 21, 2026",Billing,Medium,Resolved,5/24/2026,75,,A. Chen
T0006071,C13389,10/14/2025,Technical,Medium,Closed,10/15/2025,39,4,H. Martinez
T0006072,C13655,"Jun 15, 2025",Technical,High,Open,,,1,B. Patel
T0006073,C17781,12/5/2025,Service Quality,High,Closed,12/6/2025,41,0,A. Chen
T0006074,C17373,1/12/2025,Technical,Low,Resolved,1/12/2025,23,5,C. Nguyen
T0006075,C15682,6/27/2025,Technical,Medium,Resolved,"Jun 29, 2025",48,4,E. Wilson
T0006076,C01488,5/4/2026,Service Quality,Urgent,Resolved,5/4/2026,7,5,A. Chen
T0006077,C02893,"Feb 13, 2026",Service Quality,Medium,Closed,"Feb 14, 2026", 34 ,1,B. Patel
T0006078,C00922,4/7/2026,Billing,Low,Closed,4/9/2026,62,,D. Garcia
T0006079,C13461,9/26/2025,Billing,Low,Closed,9/27/2025,29,,B. Patel
T0006080,C06738,"Jan 09, 2025",Plan Change,High,Closed,1/10/2025,24,3,A. Chen
T0006081,C00195,4/29/2025,Account Access,Low,Resolved,4/30/2025,41,4,B. Patel
T0006082,C03410,12/26/2025,Service Quality,Medium,Closed,12/26/2025,23,,G. Lee
T0006083,C07236,9/3/2025,Service Quality,Low,Closed,9/6/2025,77,,A. Chen
T0006084,C14677,9/16/2025,Service Quality,Medium,Open,,,2,E. Wilson
T0006085,C09781,1/11/2026,Plan Change ,High,Closed ,1/11/2026,22,5,H. Martinez
T0006086,C03481,4/4/2026,Plan Change,Low,Closed,"Apr 05, 2026",47,3,D. Garcia
T0006087,C02584,7/14/2025,Billing,Low,Open,,,2,H. Martinez
T0006088,C03072,1/2/2026,Plan Change,High,Closed,1/2/2026,17,5,F. Brown
T0006089,C02539,4/16/2025,Service Quality,Medium,Open,,,3,D. Garcia
T0006090,C01675,"Feb 06, 2025",Technical,Medium,Resolved,2/10/2025,100,2,F. Brown
T0006091,C13663,12/1/2025,Technical,High,Closed,12/2/2025,45,5,G. Lee
T0006092,C09576,2/20/2026,Billing,Low,Closed,2/25/2026,131,,B. Patel
T0006093,C17801,11/20/2025,Plan Change,Low,Open,,,,C. Nguyen
T0006094,C08912,3/6/2026,Billing,Medium,open,,,1,E. Wilson
T0006095,C17875,10/19/2025,Service Quality,Medium,Open,,54,4,C. Nguyen
T0006096,C00991,11/26/2025,Service Quality,Low,Resolved,11/27/2025,40,2,D. Garcia
T0006097,C12522,"Jun 22, 2026",Technical,High,  Resolved  ,"Jun 22, 2026",19,3,F. Brown
T0006098,C16075,1/14/2026,Service Quality,High,Resolved,1/15/2026,26,2,F. Brown
T0006099,C14480,6/13/2025,Billing,Medium,Resolved,"Jun 14, 2025",32,4,H. Martinez
T0006100,C08064,5/24/2025,Account Access,High,Resolved,5/24/2025,11,3,E. Wilson
T0006101,C09891,3/22/2026,Cancellation,Medium,Closed,3/22/2026,13,3,E. Wilson
T0006102,C03283,3/28/2025,Technical,Low,Resolved,3/29/2025,34,1,A. Chen
T0006103,C06509,10/14/2025,Service Quality,Low,Resolved,10/16/2025,54,4,D. Garcia
T0006104,C17145,2/27/2025,Billing,Medium,Resolved,"Feb 28, 2025",47,2,E. Wilson
T0006105,C06729 ,1/7/2026,Service Quality,Low,Closed,1/9/2026,66,3,F. Brown
T0006106,C14433,6/11/2026,Service Quality,Low,CLOSED,"Jun 13, 2026",51,2,C. Nguyen
T0006107,C07176,"Feb 16, 2026",Billing, High,Closed,2/18/2026,60,,F. Brown
T0006108,C11354,6/18/2026,Account Access,Medium,Closed,6/19/2026,30,4,G. Lee
T0006109,C00149,11/15/2025, Technical,Urgent,Closed,11/16/2025,39,3,B. Patel
T0006110,C04289,7/18/2025,Technical,Low,Closed,7/24/2025,147,3,D. Garcia
T0006111,C00492,"Jun 30, 2026",Plan Change,Medium,Closed,"Jul 01, 2026",31,4,B. Patel
T0006112,C10414,6/17/2025,Cancellation,High,Open,,,,C. Nguyen
T0006113,C15557,7/19/2025,Technical,High,Closed,"Jul 19, 2025",17,,F. Brown
T0006114,C09037,12/5/2025,Billing,Medium,Resolved,12/7/2025,51,,C. Nguyen
T0006115,C13135,4/8/2026,Account Access,Low,Open,,,1,E. Wilson
T0006116,C05908,6/14/2025,Technical,Medium,Open,,,2,A. Chen
T0006117,C03977,4/11/2026,Technical,Urgent,Closed,4/11/2026,7,5,B. Patel
T0006118,C08970,8/21/2025,Plan Change,Urgent,Open,,,,H. Martinez
T0006119,C05003,3/21/2025,ACCOUNT ACCESS,Medium,Resolved,3/22/2025,27,2,D. Garcia
T0006120,C17333,3/23/2026,Cancellation,Medium,Resolved,3/24/2026,29,,B. Patel
T0006121,C08774,"Apr 12, 2025",Cancellation,Low,Resolved,4/13/2025,35,2,F. Brown
T0006122,C01357,3/1/2026,Cancellation,Urgent,Closed,"Mar 01, 2026",19,3,A. Chen
T0006123,C11658,8/4/2025,Cancellation,Medium,Resolved,"Aug 07, 2025",81,4,D. Garcia
T0006124,C09612,"Feb 20, 2026",Technical,High,Resolved,"Feb 22, 2026",52,5,E. Wilson
T0006125,C00021,5/3/2025,Technical,Medium,Resolved,"May 09, 2025",150,1,A. Chen
T0006126,C06015,6/4/2025,Plan Change,Low,Closed ,6/4/2025,19,3,F. Brown
